ingredient,total_interactions,products_count,top_interaction_types
mannitol,10074,46,"risk or severity of adverse effects, hypotensive activities, nephrotoxic activities"
amlodipine,10005,23,"hypotensive activities, risk or severity of adverse effects, metabolism"
ciprofloxacin,9834,22,"QTc-prolonging activities, neuroexcitatory activities, risk or severity of adverse effects"
venlafaxine,9700,10,"metabolism, risk or severity of adverse effects, serum concentration"
paliperidone,9280,16,"risk or severity of adverse effects, QTc-prolonging activities, antihypertensive activities"
carvedilol,8946,14,"antihypertensive activities, hypotensive activities, serum concentration"
theophylline,8576,16,"metabolism, serum concentration, antihypertensive activities"
levofloxacin,8220,20,"QTc-prolonging activities, neuroexcitatory activities, risk or severity of adverse effects"
fusidic acid,8070,15,"serum concentration, excretion rate of higher serum level, risk or severity of adverse effects"
naproxen,7904,19,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
rosuvastatin,7832,22,"serum concentration, metabolism, risk or severity of rhabdomyolysis"
azithromycin,7820,20,"metabolism, QTc-prolonging activities, serum concentration"
tacrolimus,7776,18,"metabolism, immunosuppressive activities, serum concentration"
voriconazole,7600,10,"metabolism, serum concentration, QTc-prolonging activities"
terbinafine,7543,19,"metabolism, serum concentration, therapeutic efficacy"
donepezil,7536,24,"metabolism, risk or severity of adverse effects, bradycardic activities"
bosentan,7010,10,"serum concentration, hypotensive activities, metabolism"
dexamethasone,7002,18,"risk or severity of adverse effects, serum concentration, metabolism"
gabapentin,7002,18,"risk or severity of adverse effects, therapeutic efficacy, risk or severity of hypotension"
sertraline,6993,9,"metabolism, risk or severity of adverse effects, serum concentration"
methylprednisolone,6859,19,"risk or severity of adverse effects, serum concentration, therapeutic efficacy"
mirtazapine,6851,13,"central nervous system depressant (CNS depressant) activities, metabolism, risk or severity of adverse effects"
etodolac,6749,17,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
olopatadine,6700,10,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
paroxetine,6690,10,"metabolism, risk or severity of adverse effects, antiplatelet activities"
mesalazine,6645,15,"risk or severity of adverse effects, therapeutic efficacy, antihypertensive activities"
naftifine,6477,17,"risk or severity of adverse effects, therapeutic efficacy, antihypertensive activities"
dexketoprofen,6293,29,"risk or severity of adverse effects, thrombogenic activities, antiplatelet activities"
memantine,6188,34,"risk or severity of adverse effects, therapeutic efficacy, bradycardic activities"
mometasone,6096,24,"risk or severity of adverse effects, serum concentration, hypokalemic activities"
paclitaxel,5709,11,"risk or severity of adverse effects, metabolism, serum concentration"
haloperidol,5696,8,"risk or severity of adverse effects, metabolism, QTc-prolonging activities"
riociguat,5655,15,"hypotensive activities, serum concentration, risk or severity of adverse effects"
carbamazepine,5586,6,"metabolism, serum concentration, risk or severity of adverse effects"
moxifloxacin,5565,15,"QTc-prolonging activities, neuroexcitatory activities, risk or severity of adverse effects"
ranolazine,5404,7,"serum concentration, metabolism, QTc-prolonging activities"
selexipag,5400,18,"hypotensive activities, metabolism, anticoagulant activities"
abiraterone,5260,10,"serum concentration, metabolism, cardiotoxic activities"
palbociclib,5130,9,"serum concentration, risk or severity of adverse effects, metabolism"
diltiazem,5106,6,"metabolism, serum concentration, hypotensive activities"
desloratadine,5096,13,"risk or severity of adverse effects, serum concentration, therapeutic efficacy"
rivaroxaban,5049,17,"anticoagulant activities, serum concentration, metabolism"
fluticasone,5020,20,"risk or severity of adverse effects, serum concentration, hypokalemic activities"
apixaban,4914,14,"serum concentration, anticoagulant activities, metabolism"
irbesartan,4914,9,"metabolism, risk or severity of adverse effects, hypotensive activities"
pioglitazone,4875,13,"metabolism, therapeutic efficacy, hypoglycemic activities"
furosemide,4873,11,"risk or severity of adverse effects, therapeutic efficacy, hypokalemic activities"
guanfacine,4808,8,"risk or severity of adverse effects, hypotensive activities, metabolism"
leflunomide,4784,8,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
azelastine,4746,6,"central nervous system depressant (CNS depressant) activities, risk or severity of adverse effects, metabolism"
sunitinib,4704,16,"hypoglycemic activities, metabolism, QTc-prolonging activities"
gliclazide,4605,15,"hypoglycemic activities, therapeutic efficacy, metabolism"
meloxicam,4540,10,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
indapamide,4529,7,"hypotensive activities, therapeutic efficacy, risk or severity of adverse effects"
mycophenolic acid,4510,11,"risk or severity of adverse effects, serum concentration, therapeutic efficacy"
diazepam,4420,10,"risk or severity of adverse effects, metabolism, serum concentration"
cetirizine,4365,15,"risk or severity of adverse effects, central nervous system depressant (CNS depressant) activities, sedative activities"
tramadol,4360,8,"risk or severity of adverse effects, serum concentration, therapeutic efficacy"
tenofovir disoproxil,4336,16,"metabolism, risk or severity of adverse effects, serum concentration"
cinacalcet,4326,14,"metabolism, serum concentration, serum concentration of active metabolites"
rasagiline,4275,9,"risk or severity of adverse effects, hypotensive activities, hypertensive activities"
itraconazole,4188,6,"metabolism, serum concentration, therapeutic efficacy"
pomalidomide,4168,8,"risk or severity of adverse effects, metabolism, serum concentration"
betamethasone,4069,13,"risk or severity of adverse effects, serum concentration, therapeutic efficacy"
posaconazole,4068,6,"metabolism, serum concentration, therapeutic efficacy"
ketoconazole,4035,5,"metabolism, serum concentration, therapeutic efficacy"
methotrexate,4032,24,"serum concentration, risk or severity of adverse effects, therapeutic efficacy"
methylphenidate,4030,13,"antihypertensive activities, risk or severity of adverse effects, metabolism"
valproic acid,4018,7,"risk or severity of adverse effects, metabolism, serum concentration"
citalopram,3995,5,"metabolism, risk or severity of adverse effects, serum concentration"
lamotrigine,3987,9,"risk or severity of adverse effects, therapeutic efficacy, serum concentration"
nicotine,3978,13,"metabolism, risk or severity of adverse effects, serum concentration"
brimonidine,3976,8,"central nervous system depressant (CNS depressant) activities, antihypertensive activities, risk or severity of adverse effects"
bisoprolol,3976,7,"hypotensive activities, metabolism, antihypertensive activities"
fluoxetine,3970,5,"metabolism, risk or severity of adverse effects, serum concentration"
flurbiprofen,3960,10,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
pinaverium,3960,30,"risk or severity of hypotension, therapeutic efficacy, metabolism"
etofenamate,3828,12,"risk or severity of adverse effects, therapeutic efficacy, antihypertensive activities"
solifenacin,3822,13,"metabolism, risk or severity of adverse effects, QTc-prolonging activities"
acetylsalicylic acid,3789,9,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
losartan,3780,6,"metabolism, risk or severity of adverse effects, hypotensive activities"
dapagliflozin,3770,10,"risk or severity of adverse effects, metabolism, hypoglycemic activities"
clobetasol,3765,15,"risk or severity of adverse effects, serum concentration, hypokalemic activities"
phenytoin,3756,4,"metabolism, serum concentration, risk or severity of adverse effects"
ziprasidone,3688,4,"metabolism, risk or severity of adverse effects, QTc-prolonging activities"
nebivolol,3661,7,"hypotensive activities, antihypertensive activities, serum concentration"
melatonin,3650,10,"risk or severity of adverse effects, metabolism, central nervous system depressant (CNS depressant) activities"
morphine,3648,6,"risk or severity of adverse effects, metabolism, serum concentration"
doxorubicin,3591,7,"serum concentration, metabolism, risk or severity of adverse effects"
clopidogrel,3531,11,"metabolism, serum concentration, therapeutic efficacy"
verapamil,3524,4,"metabolism, serum concentration, risk or severity of adverse effects"
benzydamine,3509,11,"risk or severity of adverse effects, therapeutic efficacy, antihypertensive activities"
fentanyl,3408,6,"risk or severity of adverse effects, serum concentration, bradycardic activities"
omeprazole,3368,8,"metabolism, serum concentration, risk or severity of adverse effects"
budesonide,3355,11,"risk or severity of adverse effects, serum concentration, hypokalemic activities"
esomeprazole,3324,12,"metabolism, serum concentration, therapeutic efficacy"
tamsulosin,3240,8,"risk or severity of adverse effects, vasoconstricting activities, serum concentration"
metformin,3232,16,"therapeutic efficacy, hypoglycemic activities, serum concentration"
ketoprofen,3176,8,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
triamcinolone,3144,8,"risk or severity of adverse effects, metabolism, serum concentration"
bupivacaine,3144,6,"risk or severity of adverse effects, metabolism, serum concentration"
doxazosin,3066,7,"hypotensive activities, metabolism, vasoconstricting activities"
teriflunomide,3025,5,"serum concentration, risk or severity of adverse effects, metabolism"
eltrombopag,3006,18,"serum concentration, metabolism"
valsartan,2988,6,"metabolism, risk or severity of adverse effects, hypotensive activities"
metronidazole,2954,14,"metabolism, QTc-prolonging activities, serum concentration"
hydrocortisone,2944,8,"risk or severity of adverse effects, serum concentration, metabolism"
ticagrelor,2880,8,"metabolism, serum concentration, anticoagulant activities"
warfarin,2875,5,"anticoagulant activities, metabolism, serum concentration"
brexpiprazole,2870,5,"risk or severity of adverse effects, serum concentration, vasoconstricting activities"
piroxicam,2835,7,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
lansoprazole,2834,13,"metabolism, serum concentration, risk or severity of adverse effects"
magnesium sulfate,2802,6,"therapeutic efficacy, serum concentration, risk or severity of hypotension and neuromuscular blockade"
tolvaptan,2800,8,"serum concentration, hyperkalemic activities, risk or severity of adverse effects"
montelukast,2783,23,"metabolism, serum concentration, therapeutic efficacy"
tenoxicam,2772,7,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
celecoxib,2732,4,"metabolism, risk or severity of adverse effects, serum concentration"
pazopanib,2724,6,"serum concentration, QTc-prolonging activities, metabolism"
granisetron,2690,10,"QTc-prolonging activities, metabolism, serotonergic activities"
fexofenadine,2680,8,"risk or severity of adverse effects, serum concentration, central nervous system depressant (CNS depressant) activities"
salbutamol,2652,13,"QTc-prolonging activities, risk or severity of adverse effects, vasoconstricting activities"
empagliflozin,2608,8,"risk or severity of adverse effects, hypoglycemic activities, therapeutic efficacy"
sodium phosphate,2590,14,"nephrotoxic activities, absorption, risk or severity of adverse effects"
metoclopramide,2590,7,"risk or severity of adverse effects, QTc-prolonging activities, therapeutic efficacy"
docetaxel,2541,7,"risk or severity of adverse effects, metabolism, serum concentration"
rabeprazole,2466,9,"metabolism, serum concentration, risk or severity of adverse effects"
pirfenidone,2450,7,"risk or severity of adverse effects, therapeutic efficacy, antihypertensive activities"
glimepiride,2392,8,"hypoglycemic activities, therapeutic efficacy, metabolism"
ramipril,2364,6,"risk or severity of adverse effects, hypotensive activities, serum concentration"
lisinopril,2364,6,"risk or severity of adverse effects, hypotensive activities, serum concentration"
zuclopenthixol,2364,4,"risk or severity of adverse effects, QTc-prolonging activities, serum concentration"
trazodone,2360,4,"risk or severity of adverse effects, metabolism, vasoconstricting activities"
bupropion,2352,6,"metabolism, serum concentration, risk or severity of adverse effects"
topiramate,2340,5,"risk or severity of adverse effects, metabolism, serum concentration"
clomipramine,2247,3,"risk or severity of adverse effects, metabolism, serum concentration"
tolterodine,2247,7,"metabolism, risk or severity of adverse effects, serum concentration"
epinephrine,2226,7,"antihypertensive activities, vasoconstricting activities, risk or severity of hypotension"
ibrutinib,2220,6,"serum concentration, risk or severity of adverse effects, metabolism"
gentamicin,2220,12,"excretion rate of higher serum level, serum concentration, nephrotoxic activities"
fingolimod,2198,7,"immunosuppressive activities, metabolism, bradycardic activities"
calcitriol,2196,12,"metabolism, therapeutic efficacy, serum concentration"
progesterone,2135,7,"metabolism, serum concentration, absorption"
ropinirole,2100,3,"sedative activities, metabolism, risk or severity of adverse effects"
paricalcitol,2091,17,"serum concentration, metabolism, risk or severity of adverse effects"
xylometazoline,2088,9,"hypotensive activities, vasoconstricting activities, atrioventricular blocking (AV block) activities"
amiodarone,2068,2,"metabolism, serum concentration, therapeutic efficacy"
betahistine,2054,13,"therapeutic efficacy, serum concentration, sedative activities"
tobramycin,2035,11,"excretion rate of higher serum level, serum concentration, nephrotoxic activities"
remifentanil,2020,4,"risk or severity of adverse effects, bradycardic activities, central nervous system depressant (CNS depressant) activities"
acemetacin,1995,5,"risk or severity of adverse effects, therapeutic efficacy, risk or severity of bleeding"
macitentan,1992,8,"hypotensive activities, serum concentration, metabolism"
phenobarbital,1966,2,"metabolism, serum concentration, risk or severity of adverse effects"
erlotinib,1881,9,"serum concentration, metabolism, risk or severity of adverse effects"
fluorouracil,1876,7,"metabolism, serum concentration, risk or severity of adverse effects"
vortioxetine,1860,4,"risk or severity of adverse effects, metabolism, serum concentration"
tamoxifen,1820,5,"metabolism, serum concentration, QTc-prolonging activities"
linagliptin,1816,8,"serum concentration, therapeutic efficacy, risk or severity of adverse effects"
alprazolam,1792,4,"risk or severity of adverse effects, serum concentration, metabolism"
lurasidone,1776,4,"risk or severity of adverse effects, serum concentration, therapeutic efficacy"
midazolam,1740,4,"risk or severity of adverse effects, serum concentration, metabolism"
iloprost,1735,5,"risk or severity of adverse effects, therapeutic efficacy, hypotensive activities"
cyclobenzaprine,1732,4,"risk or severity of adverse effects, metabolism, serum concentration"
clozapine,1716,2,"risk or severity of adverse effects, metabolism, serum concentration"
oxymetazoline,1705,11,"vasoconstricting activities, atrioventricular blocking (AV block) activities, risk or severity of adverse effects"
digoxin,1677,3,"serum concentration, cardiotoxic activities, bradycardic activities"
lercanidipine,1672,4,"hypotensive activities, risk or severity of adverse effects, serum concentration"
pitavastatin,1655,5,"serum concentration, metabolism, risk or severity of rhabdomyolysis"
magnesium oxide,1652,7,"absorption, bioavailability, serum concentration"
rifampicin,1638,2,"metabolism, serum concentration, risk or severity of hypotension"
apomorphine,1615,5,"risk or severity of adverse effects, QTc-prolonging activities, therapeutic efficacy"
apremilast,1608,4,"risk or severity of adverse effects, metabolism, serum concentration"
trifluoperazine,1599,3,"risk or severity of adverse effects, antihypertensive activities, vasoconstricting activities"
chlorpromazine,1584,2,"risk or severity of adverse effects, metabolism, QTc-prolonging activities"
bortezomib,1574,2,"metabolism, serum concentration, risk or severity of adverse effects"
everolimus,1565,5,"serum concentration, therapeutic efficacy, risk or severity of adverse effects"
isosorbide mononitrate,1560,6,"risk or severity of adverse effects, metabolism, serum concentration"
sitagliptin,1555,5,"hypoglycemic activities, serum concentration, therapeutic efficacy"
propiverine,1544,4,"risk or severity of adverse effects, vasoconstricting activities, metabolism"
spironolactone,1536,4,"risk or severity of adverse effects, antihypertensive activities, vasoconstricting activities"
fesoterodine,1524,4,"serum concentration of active metabolites, risk or severity of adverse effects, serum concentration"
clotrimazole,1516,2,"metabolism, serum concentration, therapeutic efficacy"
clindamycin,1512,12,"metabolism, serum concentration, neuromuscular blocking activities"
prilocaine,1505,5,"risk or severity of adverse effects, central nervous system depressant (CNS depressant) activities, sedative activities"
estradiol,1492,4,"serum concentration, metabolism, thrombogenic activities"
nilotinib,1482,2,"metabolism, serum concentration, QTc-prolonging activities"
rifaximin,1472,4,"serum concentration, risk or severity of hypotension, metabolism"
oxycodone,1464,3,"risk or severity of adverse effects, metabolism, serum concentration"
prednisolone,1460,4,"risk or severity of adverse effects, serum concentration, therapeutic efficacy"
levocetirizine,1452,4,"risk or severity of adverse effects, metabolism, serum concentration"
darunavir,1442,2,"serum concentration, metabolism, therapeutic efficacy"
minoxidil,1434,6,"hypotensive activities, risk or severity of adverse effects, antihypertensive activities"
dabrafenib,1432,2,"serum concentration, QTc-prolonging activities, therapeutic efficacy"
captopril,1416,3,"risk or severity of adverse effects, hypotensive activities, serum concentration"
enalapril,1416,3,"risk or severity of adverse effects, hypotensive activities, serum concentration"
tetracycline,1400,7,"metabolism, serum concentration, therapeutic efficacy"
ketorolac,1388,4,"risk or severity of adverse effects, therapeutic efficacy, antihypertensive activities"
zoledronic acid,1386,11,"risk or severity of adverse effects, serum concentration, hypocalcemic activities"
dexmedetomidine,1386,3,"risk or severity of adverse effects, atrioventricular blocking (AV block) activities, central nervous system depressant (CNS depressant) activities"
hydroxyzine,1384,4,"central nervous system depressant (CNS depressant) activities, QTc-prolonging activities, sedative activities"
vildagliptin,1376,8,"therapeutic efficacy, serum concentration, hypoglycemic activities"
amitriptyline,1374,2,"risk or severity of adverse effects, metabolism, serum concentration"
cyclophosphamide,1365,3,"cardiotoxic activities, metabolism, serum concentration"
tretinoin,1360,4,"risk or severity of adverse effects, metabolism, serum concentration"
capecitabine,1350,6,"metabolism, serum concentration, risk or severity of adverse effects"
aprepitant,1348,2,"serum concentration, metabolism, risk or severity of adverse effects"
cefuroxime,1334,29,"serum concentration, absorption, nephrotoxic activities"
crizotinib,1326,2,"metabolism, serum concentration, QTc-prolonging activities"
doxycycline,1306,2,"metabolism, serum concentration, therapeutic efficacy"
amikacin,1295,7,"excretion rate of higher serum level, serum concentration, nephrotoxic activities"
icatibant,1288,4,"risk or severity of adverse effects, antihypertensive activities, therapeutic efficacy"
modafinil,1280,5,"metabolism, serum concentration, risk or severity of adverse effects"
cisplatin,1272,6,"risk or severity of adverse effects, serum concentration, thrombogenic activities"
fenofibrate,1265,11,"metabolism, serum concentration, hypoglycemic activities"
sulpiride,1254,3,"risk or severity of adverse effects, antipsychotic activities, anticholinergic activities"
sertindole,1248,3,"risk or severity of adverse effects, metabolism, serum concentration"
sorafenib,1233,3,"metabolism, serum concentration, QTc-prolonging activities"
cilazapril,1227,3,"risk or severity of adverse effects, hypotensive activities, serum concentration"
perindopril,1227,3,"risk or severity of adverse effects, hypotensive activities, serum concentration"
tofacitinib,1225,5,"immunosuppressive activities, serum concentration, metabolism"
propranolol,1212,2,"hypotensive activities, metabolism, antihypertensive activities"
ivermectin,1210,10,"metabolism, serum concentration, risk or severity of rhabdomyolysis"
alfuzosin,1209,3,"hypotensive activities, serum concentration, vasoconstricting activities"
osimertinib,1198,2,"serum concentration, cardiotoxic activities"
atropine,1197,9,"risk or severity of adverse effects, therapeutic efficacy, hypertensive activities"
benidipine,1194,6,"metabolism, risk or severity of hypotension, therapeutic efficacy"
lornoxicam,1188,3,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
trandolapril,1182,3,"risk or severity of adverse effects, hypotensive activities, serum concentration"
methylergometrine,1179,3,"risk or severity of adverse effects, hypertensive and vasoconstricting activities, serum concentration"
olaparib,1144,2,"metabolism, serum concentration, risk or severity of adverse effects"
moclobemide,1140,2,"metabolism, risk or severity of adverse effects, hypotensive activities"
prednisone,1137,3,"risk or severity of adverse effects, serum concentration, therapeutic efficacy"
tizanidine,1124,2,"risk or severity of adverse effects, serum concentration, QTc-prolonging activities"
baclofen,1124,4,"risk or severity of adverse effects, central nervous system depressant (CNS depressant) activities, therapeutic efficacy"
flupentixol,1110,2,"risk or severity of adverse effects, QTc-prolonging activities, vasoconstricting activities"
lenalidomide,1110,30,"thrombogenic activities, serum concentration, risk or severity of adverse effects"
torasemide,1100,2,"hypotensive activities, risk or severity of adverse effects, therapeutic efficacy"
pseudoephedrine,1080,3,"sedative activities, metabolism, stimulatory activities"
clonazepam,1077,3,"risk or severity of adverse effects, metabolism, serum concentration"
pravastatin,1068,3,"serum concentration, metabolism, risk or severity of rhabdomyolysis"
lacosamide,1066,13,"atrioventricular blocking (AV block) activities, serum concentration, therapeutic efficacy"
testosterone,1056,4,"metabolism, serum concentration, fluid retaining activities"
felodipine,1056,2,"metabolism, hypotensive activities, risk or severity of adverse effects"
thiopental,1056,2,"risk or severity of adverse effects, hypotensive activities, metabolism"
anagrelide,1032,4,"QTc-prolonging activities, anticoagulant activities, risk or severity of QTc prolongation"
cabergoline,1022,2,"risk or severity of adverse effects, serum concentration, hypertensive and vasoconstricting activities"
famotidine,1008,7,"QTc-prolonging activities, metabolism, serum concentration"
ambrisentan,1004,4,"hypotensive activities, metabolism, serum concentration"
atenolol,1000,2,"hypotensive activities, antihypertensive activities, risk or severity of adverse effects"
propafenone,996,2,"serum concentration, QTc-prolonging activities, antihypertensive activities"
rivastigmine,965,5,"risk or severity of adverse effects, bradycardic activities, therapeutic efficacy"
primidone,955,1,"metabolism, serum concentration, risk or severity of adverse effects"
fluvoxamine,934,1,"metabolism, risk or severity of adverse effects, serum concentration"
netilmicin,925,5,"excretion rate of higher serum level, serum concentration, nephrotoxic activities"
palonosetron,925,5,"metabolism, serotonergic activities, serum concentration"
trimebutine,924,7,"risk or severity of hypotension, therapeutic efficacy, metabolism"
ceftriaxone,924,33,"nephrotoxic activities, risk or severity of adverse effects, anticoagulant activities"
latanoprost,916,4,"hypotensive activities, therapeutic efficacy, antihypertensive activities"
fluorometholone,900,3,"risk or severity of adverse effects, metabolism, serum concentration"
isoniazid,896,2,"metabolism, serum concentration, risk or severity of adverse effects"
fluticasone furoate,894,3,"risk or severity of adverse effects, metabolism, serum concentration"
dimenhydrinate,891,3,"risk or severity of adverse effects, central nervous system depressant (CNS depressant) activities, sedative activities"
rupatadine,890,5,"metabolism, serum concentration, sedative activities"
nifedipine,876,2,"risk or severity of adverse effects, metabolism, serum concentration"
maprotiline,876,2,"risk or severity of adverse effects, metabolism, QTc-prolonging activities"
zonisamide,868,2,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
dabigatran etexilate,866,2,"serum concentration of active metabolites, anticoagulant activities, serum concentration"
desmopressin,858,6,"risk or severity of adverse effects, therapeutic efficacy"
vemurafenib,842,1,"serum concentration, risk or severity of QTc prolongation, QTc-prolonging activities"
cefdinir,840,40,"nephrotoxic activities, anticoagulant activities, serum concentration"
cariprazine,836,4,"metabolism, risk or severity of adverse effects, serum concentration"
butylscopolamine,833,7,"risk or severity of adverse effects, therapeutic efficacy, serum concentration"
silodosin,832,2,"serum concentration, vasoconstricting activities, antihypertensive activities"
epoprostenol,832,2,"hypotensive activities, risk or severity of adverse effects, therapeutic efficacy"
bosutinib,826,2,"serum concentration, cardiotoxic activities, excretion"
fosinopril,820,2,"risk or severity of adverse effects, hypotensive activities, serum concentration"
amoxicillin,814,11,"metabolism, serum concentration, therapeutic efficacy"
edoxaban,812,2,"serum concentration, anticoagulant activities, therapeutic efficacy"
darifenacin,810,2,"metabolism, risk or severity of adverse effects, serum concentration"
mirabegron,806,2,"metabolism, risk or severity of adverse effects, serum concentration"
nimodipine,798,2,"hypotensive activities, serum concentration, risk or severity of adverse effects"
nicardipine,796,1,"metabolism, hypotensive activities, serum concentration"
aceclofenac,792,2,"risk or severity of adverse effects, metabolism, therapeutic efficacy"
treprostinil,784,2,"hypotensive activities, risk or severity of adverse effects, QTc-prolonging activities"
imipramine,782,1,"risk or severity of adverse effects, metabolism, serum concentration"
albendazole,768,6,"metabolism, serum concentration, cardiotoxic activities"
calcium acetate,768,6,"therapeutic efficacy, absorption, serum concentration"
eplerenone,756,2,"risk or severity of adverse effects, antihypertensive activities, serum concentration"
prednicarbate,753,3,"risk or severity of adverse effects, serum concentration, hypokalemic activities"
loteprednol,753,3,"risk or severity of adverse effects, serum concentration, hypokalemic activities"
apalutamide,752,1,"serum concentration, metabolism"
permethrin,744,8,"metabolism, serum concentration"
afatinib,741,3,"serum concentration, cardiotoxic activities, excretion"
ipratropium bromide,741,3,"metabolism, risk or severity of adverse effects, serum concentration"
ceritinib,740,1,"serum concentration, QTc-prolonging activities, bradycardic activities"
aminophylline,738,3,"serum concentration, metabolism, therapeutic efficacy"
ofloxacin,732,2,"QTc-prolonging activities, neuroexcitatory activities, risk or severity of adverse effects"
vincristine,726,2,"excretion, serum concentration, metabolism"
rifabutin,703,1,"metabolism, serum concentration, risk or severity of hypotension"
adapalene,702,2,"risk or severity of adverse effects, therapeutic efficacy, antihypertensive activities"
caffeine,692,2,"metabolism, serum concentration, risk or severity of adverse effects"
acarbose,692,4,"therapeutic efficacy, hypoglycemic activities, serum concentration"
telmisartan,690,2,"risk or severity of adverse effects, hypotensive activities, serum concentration"
ciclopirox,690,10,"therapeutic efficacy, serum concentration, metabolism"
doxepin,688,1,"risk or severity of adverse effects, metabolism, serum concentration"
tiaprofenic acid,686,2,"risk or severity of adverse effects, therapeutic efficacy, antihypertensive activities"
nepafenac,684,2,"risk or severity of adverse effects, therapeutic efficacy, antihypertensive activities"
oxiconazole,684,6,"therapeutic efficacy, metabolism, serum concentration"
ixazomib,681,3,"metabolism, serum concentration, risk or severity of adverse effects"
folic acid,679,7,"therapeutic efficacy, serum concentration, metabolism"
vancomycin,672,6,"serum concentration, neuromuscular blocking activities, nephrotoxic activities"
etoposide,672,4,"serum concentration, metabolism, risk or severity of adverse effects"
linezolid,660,4,"risk or severity of adverse effects, serotonergic activities, hypertensive activities"
cabazitaxel,654,2,"risk or severity of adverse effects, serum concentration, metabolism"
bromocriptine,653,1,"risk or severity of adverse effects, serum concentration, hypertensive and vasoconstricting activities"
bicalutamide,650,5,"metabolism, serum concentration, risk or severity of adverse effects"
amisulpride,650,2,"risk or severity of adverse effects, antipsychotic activities, central nervous system depressant (CNS depressant) activities"
galantamine,650,2,"metabolism, risk or severity of adverse effects, QTc-prolonging activities"
erythromycin,649,1,"metabolism, serum concentration, QTc-prolonging activities"
sodium bicarbonate,648,4,"absorption, bioavailability, serum concentration"
betaxolol,646,1,"metabolism, hypotensive activities, antihypertensive activities"
ambroxol,642,6,"metabolism, serum concentration, risk or severity of adverse effects"
terazosin,640,2,"risk or severity of adverse effects, vasoconstricting activities, antihypertensive activities"
nateglinide,636,2,"metabolism, hypoglycemic activities, therapeutic efficacy"
enzalutamide,619,1,"serum concentration, metabolism, cardiotoxic activities"
cilostazol,618,2,"serum concentration, anticoagulant activities, metabolism"
colchicine,608,2,"serum concentration, myopathic rhabdomyolysis activities, risk or severity of adverse effects"
octreotide,608,4,"QTc-prolonging activities, bradycardic activities, therapeutic efficacy"
vardenafil,608,2,"antihypertensive activities, QTc-prolonging activities, serum concentration"
diphenhydramine,604,1,"metabolism, risk or severity of adverse effects, QTc-prolonging activities"
deflazacort,602,2,"risk or severity of adverse effects, metabolism, serum concentration"
ciclesonide,596,2,"risk or severity of adverse effects, metabolism, serum concentration"
irinotecan,596,4,"serum concentration, metabolism, risk or severity of adverse effects"
propofol,593,1,"risk or severity of adverse effects, metabolism, serum concentration"
mianserin,588,2,"metabolism, therapeutic efficacy, anticholinergic activities"
ifosfamide,582,3,"serum concentration, metabolism, risk or severity of adverse effects"
luliconazole,580,1,"serum concentration, risk or severity of adverse effects, risk or severity of QTc prolongation"
